id,name,state,main_festival,cuisine,best_time_to_visit,nearby_attractions,category,entry_fee,safety_index,weather_impact,popularity_score,google_reviews_sentiment,nearest_airport,nearest_train_station
1,Mumbai,Maharashtra,Ganesh Chaturthi,"Vada Pav, Pav Bhaji",Oct-Mar,"Gateway of India, Elephanta Caves, Marine Drive, Juhu Beach","Cultural, Historical",275.0,8.5,6.0,9.0,4.5,Chhatrapati Shivaji Intl. Airport,Mumbai Central Station
2,Pune,Maharashtra,Ganesh Chaturthi,"Misal Pav, Puran Poli",Oct-Mar,"Shaniwar Wada, Aga Khan Palace, Sinhagad Fort, Osho Ashram","Cultural, Historical",110.0,8.8,5.0,8.5,4.4,Pune Airport,Pune Junction
3,Nashik,Maharashtra,Kumbh Mela,"Misal Pav, Modak",Oct-Mar,"Trimbakeshwar Temple, Sula Vineyards, Pandavleni Caves, Saptashrungi","Spiritual, Cultural",155.0,8.2,7.0,9.5,4.6,Nashik Airport,Nashik Road Station
4,Aurangabad,Maharashtra,Ellora Festival,"Naan Qalia, Mawa Jalebi",Oct-Mar,"Ajanta Caves, Ellora Caves, Bibi Ka Maqbara, Daulatabad Fort","Historical, Cultural",215.0,7.5,6.0,8.0,4.3,Aurangabad Airport,Aurangabad Station
5,Nagpur,Maharashtra,Dussehra,"Saoji Chicken, Orange Barfi",Oct-Mar,"Deekshabhoomi, Sitabuldi Fort, Ambazari Lake, Maharajbagh Zoo","Cultural, Historical",0.0,7.8,5.0,8.5,4.4,Dr. Babasaheb Ambedkar Intl. Airport,Nagpur Junction
6,Pandharpur,Maharashtra,Ashadhi Ekadashi,"Pithla Bhakri, Shrikhand",Jun-Feb,"Vitthal Rukmini Temple, Pundalik Temple, Chandrabhaga River, ISKCON Pandharpur",Spiritual,0.0,8.2,7.0,9.0,4.5,Pune Airport,Kurduwadi Station
7,Alandi,Maharashtra,Kartik Ekadashi,"Poha, Modak",Oct-Mar,"Sant Dnyaneshwar Samadhi, Indrayani River, Vishnupad Temple, Muktabai Temple","Spiritual, Cultural",0.0,8.5,6.0,8.8,4.4,Pune Airport,Pune Junction
8,Dehu,Maharashtra,Sant Tukaram Palkhi,"Bhakri, Puran Poli",Oct-Mar,"Sant Tukaram Temple, Indrayani River, Dehu Hills, Gatha Mandir","Spiritual, Cultural",0.0,8.3,6.0,8.7,4.4,Pune Airport,Dehu Road Station
9,Akkalkot,Maharashtra,Guru Poornima,"Poha, Upma",Oct-Mar,"Swami Samarth Samadhi, Shivpuri Temple, Mallikarjun Temple, Akkalkot Fort","Spiritual, Cultural",0.0,8.0,5.0,8.2,4.2,Solapur Airport,Akkalkot Road Station
10,Shegaon,Maharashtra,Ram Navami,"Bhakri, Pithla",Oct-Mar,"Shri Gajanan Maharaj Temple, Anand Sagar, Ajanta Caves, Lonar Crater","Spiritual, Cultural",0.0,8.2,6.0,8.5,4.3,Akola Airport,Shegaon Station
11,Satara,Maharashtra,Navratri,Kandi Pedha,Sep-Dec,"Ajinkyatara Fort, Thoseghar Waterfalls, Kas Plateau, Sajjangad Fort","Historical, Nature",0.0,7.9,7.0,8.3,4.3,Pune Airport,Satara Station
12,Solapur,Maharashtra,Makar Sankranti,"Shenga Poli, Solapuri Bhel",Oct-Mar,"Siddheshwar Temple, Great Indian Bustard Sanctuary, Hipparga Lake, Bhuikot Fort","Spiritual, Historical",55.0,7.5,6.0,7.8,4.1,Solapur Airport,Solapur Station
13,Kolhapur,Maharashtra,Navratri,"Kolhapuri Misal, Tambada Rassa",Nov-Feb,"Mahalakshmi Temple, Panhala Fort, Rankala Lake, Jyotiba Temple","Spiritual, Historical",110.0,8.3,5.0,8.7,4.5,Kolhapur Airport,Sangli Station
14,Ratnagiri,Maharashtra,Ganesh Chaturthi,"Alphonso Mango, Kombdi Vade",Oct-Mar,"Ganpatipule Beach, Ratnadurg Fort, Thibaw Palace, Jaigad Fort","Coastal, Historical",80.0,7.8,7.0,8.5,4.4,Ratnagiri Airport,Ratnagiri Station
15,Sindhudurg,Maharashtra,Ganesh Chaturthi,"Malvani Cuisine, Solkadhi",Oct-Mar,"Sindhudurg Fort, Tarkarli Beach, Vijaydurg Fort, Devbag Beach","Coastal, Historical",80.0,8.0,6.0,8.3,4.3,Chipi Airport,Sindhudurg Station
16,Alibaug,Maharashtra,Nariyal Purnima,"Seafood, Vada Pav",Oct-May,"Alibaug Beach, Kolaba Fort, Kanakeshwar Forest, Mandwa Beach","Coastal, Relaxation",160.0,8.1,6.0,8.6,4.5,Chhatrapati Shivaji Intl. Airport,Roha Station
17,Matheran,Maharashtra,Dussehra,"Vada Pav, Chikki",Nov-Apr,"Panorama Point, Louisa Point, Charlotte Lake, Echo Point","Hill Station, Nature",135.0,8.2,5.0,8.5,4.3,Mumbai Airport,Neral Station
18,Mahabaleshwar,Maharashtra,Strawberry Festival,"Strawberry Cream, Corn Patties",Oct-Mar,"Arthur’s Seat, Pratapgad Fort, Lingmala Waterfall, Mapro Garden","Hill Station, Nature",275.0,8.5,6.0,9.0,4.6,Pune Airport,Wathar Station
19,Lonavala,Maharashtra,Ganesh Chaturthi,"Chikki, Misal Pav",Jul-Feb,"Bhushi Dam, Tiger’s Leap, Rajmachi Fort, Karla Caves","Hill Station, Nature",215.0,8.6,7.0,9.0,4.5,Pune Airport,Lonavala Station
20,Igatpuri,Maharashtra,Ganesh Chaturthi,"Vada Pav, Bhakri",Jul-Feb,"Bhatsa River Valley, Tringalwadi Fort, Vipassana Centre, Camel Valley","Hill Station, Nature",160.0,8.4,6.0,8.8,4.4,Nashik Airport,Igatpuri Station
21,Lonar,Maharashtra,Makar Sankranti,"Pithla Bhakri, Modak",Oct-Mar,"Lonar Crater Lake, Daitya Sudan Temple, Gomukh Temple, Motha Maruti Temple","Natural, Historical",0.0,7.5,6.0,7.9,4.1,Aurangabad Airport,Jalna Station
22,Jawhar,Maharashtra,Warli Festival,"Warli Cuisine, Vada Pav",Oct-Mar,"Jai Vilas Palace, Sunset Point, Hanuman Point, Shirpamal","Tribal, Nature",0.0,7.3,5.0,7.6,4.0,Mumbai Airport,Dahanu Road Station
23,Bhandardara,Maharashtra,Diwali,"Vada Pav, Misal Pav",Jul-Feb,"Randha Falls, Arthur Lake, Wilson Dam, Kalsubai Peak","Nature, Adventure",130.0,8.2,6.0,8.3,4.3,Mumbai Airport,Igatpuri Station
24,Tadoba,Maharashtra,Wildlife Festival,Maharashtrian Thali,Oct-May,"Tadoba National Park, Moharli Gate, Kolsa Lake, Andhari River","Wildlife, Nature",325.0,7.0,8.0,9.0,4.7,Nagpur Airport,Chandrapur Station
25,Ajanta,Maharashtra,Ellora-Ajanta Festival,"Pithla Bhakri, Modak",Oct-Mar,"Ajanta Caves, Fardapur Viewpoint, Ghrishneshwar Temple, Bani Begum Garden","Historical, Cultural",215.0,7.6,6.0,8.7,4.5,Aurangabad Airport,Jalgaon Station
26,Ellora,Maharashtra,Ellora-Ajanta Festival,Maharashtrian Thali,Oct-Mar,"Ellora Caves, Grishneshwar Temple, Daulatabad Fort, Khuldabad","Historical, Cultural",215.0,8.2,6.0,8.35,0.0,Aurangabad Airport,Aurangabad Station
27,Malshej Ghat,Maharashtra,Ganesh Chaturthi,"Vada Pav, Bhakri",Jul-Oct,"Pimpalgaon Joga Dam, Harishchandragad Fort, Shivneri Fort, Kalu Waterfalls","Nature, Trekking",130.0,8.2,6.0,8.35,0.0,Pune Airport,Kalyan Station
28,Chikhaldara,Maharashtra,Diwali,"Bhakri, Thecha",Jul-Feb,"Gawilgarh Fort, Melghat Tiger Reserve, Panchbol Point, Bhimkund","Hill Station, Nature",187.5,8.2,6.0,8.9,0.0,Nagpur Airport,Amravati Station
29,Toranmal,Maharashtra,Maha Shivratri,"Vada Pav, Kachori",Oct-Mar,"Yashavant Lake, Machhindranath Cave, Khadki Point, Lotus Lake","Hill Station, Nature",187.5,8.2,6.0,8.9,0.0,Nashik Airport,Nandurbar Station
30,Palghar,Maharashtra,Nariyal Purnima,"Seafood, Bhakri",Oct-May,"Kelva Beach, Shirgaon Fort, Mahim Beach, Ram Mandir","Coastal, Cultural",130.0,8.2,6.0,8.35,0.0,Mumbai Airport,Palghar Station
31,Dahanu,Maharashtra,Bordi Beach Festival,"Seafood, Chikoo Barfi",Oct-May,"Bordi Beach, Asavli Dam, Kalpataru Botanical Garden, Bahrot Caves","Coastal, Nature",130.0,8.2,6.0,8.35,0.0,Mumbai Airport,Dahanu Road Station
32,Guhagar,Maharashtra,Ganesh Chaturthi,"Seafood, Solkadhi",Oct-May,"Guhagar Beach, Vyadeshwar Temple, Hedvi Beach, Velneshwar Temple","Coastal, Spiritual",130.0,8.2,6.0,8.35,0.0,Ratnagiri Airport,Chiplun Station
33,Dapoli,Maharashtra,Ganesh Chaturthi,"Seafood, Modak",Oct-May,"Murud Beach, Harnai Fort, Karde Beach, Unhavare Hot Springs","Coastal, Nature",130.0,8.2,6.0,8.35,0.0,Ratnagiri Airport,Khed Station
34,Murud-Janjira,Maharashtra,Ganesh Chaturthi,"Seafood, Bhakri",Oct-May,"Janjira Fort, Murud Beach, Kasa Fort, Garambi Falls","Coastal, Historical",80.0,8.2,6.0,8.4,0.0,Mumbai Airport,Roha Station
35,Shrivardhan,Maharashtra,Ganesh Chaturthi,"Seafood, Puran Poli",Oct-May,"Shrivardhan Beach, Diveagar Beach, Harihareshwar Temple, Bankot Fort","Coastal, Spiritual",130.0,8.2,6.0,8.35,0.0,Mumbai Airport,Mangaon Station
36,Harihareshwar,Maharashtra,Maha Shivratri,"Seafood, Modak",Oct-May,"Harihareshwar Temple, Shrivardhan Beach, Bagmandala Beach, Ganesh Gully","Spiritual, Coastal",130.0,8.2,6.0,8.35,0.0,Mumbai Airport,Mangaon Station
37,Karnala,Maharashtra,Dussehra,"Vada Pav, Misal Pav",Oct-Mar,"Karnala Fort, Karnala Bird Sanctuary, Kalavantin Durg, Prabalgad Fort","Trekking, Nature",130.0,8.2,6.0,8.35,0.0,Mumbai Airport,Panvel Station
38,Bhigwan,Maharashtra,Bird Festival,Maharashtrian Thali,Dec-Mar,"Bhigwan Bird Sanctuary, Kumbhargaon Bird Watching Point, Ujani Dam, Mayureshwar Wildlife Sanctuary","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Pune Airport,Daund Station
39,Tarkarli,Maharashtra,Ganesh Chaturthi,"Malvani Cuisine, Seafood",Oct-May,"Tarkarli Beach, Devbag Beach, Sindhudurg Fort, Karli Backwaters","Coastal, Adventure",130.0,8.2,6.0,8.35,0.0,Goa Airport,Kudal Station
40,Kaas Plateau,Maharashtra,Flower Blooming Season,"Bhakri, Pithla",Sep-Oct,"Kaas Pathar, Thoseghar Waterfalls, Sajjangad Fort, Vajrai Waterfall","Nature, Biodiversity",130.0,8.2,6.0,8.35,0.0,Pune Airport,Satara Station
41,Bhigwan,Maharashtra,Flamingo Festival,Maharashtrian Thali,Nov-Mar,"Bhigwan Bird Sanctuary, Ujani Dam, Kumbhargaon Birding Point, Mayureshwar Wildlife Sanctuary","Wildlife, Nature",325.0,8.2,6.0,9.0,0.0,Pune Airport,Bhigwan Station
42,Panhala,Maharashtra,Shiv Jayanti,Kolhapuri Cuisine,Oct-Mar,"Panhala Fort, Jyotiba Temple, Sajja Kothi, Sambhaji Temple","Historical, Nature",0.0,8.2,6.0,8.3,0.0,Kolhapur Airport,Kolhapur Station
43,Amboli,Maharashtra,Monsoon Festival,Konkani Cuisine,Jun-Oct,"Amboli Ghat, Hiranyakeshi Temple, Nangarta Falls, Mahadevgad Fort","Hill Station, Nature",187.5,8.2,6.0,8.9,0.0,Goa Airport,Sawantwadi Station
44,Rajmachi,Maharashtra,Ganesh Chaturthi,"Vada Pav, Poha",Jul-Feb,"Rajmachi Fort, Kondane Caves, Shrivardhan Fort, Udhewadi","Trekking, Historical",130.0,8.2,6.0,8.35,0.0,Pune Airport,Lonavala Station
